Test Case,Latency (seconds)
Test Case 1,0.0519862174987793
Test Case 1,0.05299973487854004
Test Case 1,0.05201125144958496
Test Case 1,0.05397677421569824
Test Case 1,0.052289724349975586
Test Case 1,0.050997018814086914
Test Case 1,0.05273628234863281
Test Case 1,0.05201148986816406
Test Case 1,0.05200004577636719
Test Case 1,0.05197548866271973
Test Case 1,0.0540006160736084
Test Case 1,0.05199933052062988
Test Case 1,0.053002119064331055
Test Case 1,0.05302286148071289
Test Case 1,0.05299949645996094
Test Case 1,0.051976680755615234
Test Case 1,0.05309772491455078
Test Case 1,0.053008079528808594
Test Case 1,0.05296969413757324
Test Case 1,0.05342841148376465
Test Case 1,0.054578304290771484
Test Case 1,0.051990509033203125
Test Case 1,0.05301618576049805
Test Case 1,0.05201435089111328
Test Case 1,0.05272173881530762
Test Case 1,0.05196857452392578
Test Case 1,0.05218839645385742
Test Case 1,0.05174064636230469
Test Case 1,0.05338788032531738
Test Case 1,0.05302119255065918
Test Case 1,0.051999807357788086
Test Case 1,0.053000450134277344
Test Case 1,0.05197906494140625
Test Case 1,0.05500626564025879
Test Case 1,0.0770258903503418
Test Case 1,0.05496692657470703
Test Case 1,0.052304744720458984
Test Case 1,0.05201148986816406
Test Case 1,0.05200004577636719
Test Case 1,0.053000450134277344
Test Case 1,0.052001237869262695
Test Case 1,0.0511012077331543
Test Case 1,0.051874399185180664
Test Case 1,0.054025888442993164
Test Case 1,0.06097531318664551
Test Case 1,0.05425310134887695
Test Case 1,0.05373859405517578
Test Case 1,0.0528721809387207
Test Case 1,0.052988290786743164
Test Case 1,0.051000118255615234
Test Case 1,0.05199933052062988
Test Case 1,0.07801580429077148
Test Case 1,0.05297493934631348
Test Case 1,0.05092310905456543
Test Case 1,0.0650029182434082
Test Case 1,0.052161455154418945
Test Case 1,0.05272984504699707
Test Case 1,0.05398225784301758
Test Case 1,0.051995277404785156
Test Case 1,0.05499863624572754
Test Case 1,0.06599998474121094
Test Case 1,0.05099940299987793
Test Case 1,0.07002544403076172
Test Case 1,0.0510098934173584
Test Case 1,0.05301094055175781
Test Case 1,0.05297279357910156
Test Case 1,0.05222630500793457
Test Case 1,0.05339646339416504
Test Case 1,0.07036232948303223
Test Case 1,0.05298614501953125
Test Case 1,0.05058169364929199
Test Case 1,0.053089141845703125
Test Case 1,0.05199718475341797
Test Case 1,0.05098128318786621
Test Case 1,0.053992271423339844
Test Case 1,0.051802635192871094
Test Case 1,0.05147719383239746
Test Case 1,0.058001041412353516
Test Case 1,0.05299687385559082
